Accel_x,Accel_y,Accel_z
0.048,0.566,0.988
0.046,0.572,1.021
0.041,0.574,1.044
0.041,0.572,1.054
0.041,0.58,1.071
0.043,0.583,1.089
0.041,0.591,1.09
0.037,0.593,1.084
0.034,0.593,1.072
0.032,0.589,1.044
0.033,0.582,1.016
0.04,0.58,0.988
0.047,0.582,0.976
0.055,0.589,0.954
0.07,0.59,0.936
0.085,0.595,0.929
0.093,0.597,0.919
0.109,0.596,0.915
0.122,0.601,0.916
0.122,0.602,0.919
0.125,0.607,0.919
0.128,0.61,0.925
0.129,0.612,0.93
0.13,0.615,0.932
0.122,0.606,0.932
0.12,0.599,0.925
0.112,0.582,0.922
0.109,0.567,0.915
0.105,0.557,0.898
0.099,0.54,0.889
0.095,0.525,0.865
0.085,0.521,0.837
0.07,0.51,0.825
0.06,0.505,0.808
0.046,0.503,0.799
0.038,0.5,0.795
0.036,0.501,0.795
0.034,0.503,0.796
0.033,0.507,0.796
0.043,0.508,0.798
0.051,0.519,0.797
0.056,0.528,0.8
0.067,0.533,0.795
0.081,0.544,0.796
0.092,0.547,0.798
0.108,0.548,0.801
0.12,0.552,0.808
0.124,0.557,0.809
0.131,0.559,0.813
0.138,0.558,0.819
0.14,0.559,0.829
0.137,0.564,0.833
0.139,0.57,0.843
0.137,0.571,0.846
0.131,0.572,0.846
0.124,0.574,0.848
-0.36,1.08,0.617
-0.379,1.1,0.681
-0.407,1.096,0.695
-0.423,1.117,0.746
-0.438,1.131,0.802
-0.405,1.144,0.833
-0.368,1.142,0.897
-0.272,1.136,0.949
-0.171,1.119,0.966
-0.077,1.126,0.994
-0.041,1.133,0.999
0.016,1.128,0.984
0.071,1.102,0.935
0.1,1.061,0.875
0.159,1.04,0.797
0.202,0.996,0.764
0.216,0.933,0.692
0.231,0.897,0.66
0.239,0.829,0.61
0.237,0.77,0.573
0.224,0.744,0.539
0.193,0.706,0.528
0.171,0.671,0.519
0.113,0.658,0.516
0.051,0.645,0.526
0.02,0.649,0.571
-0.045,0.654,0.635
-0.109,0.663,0.667
-0.141,0.669,0.737
-0.184,0.673,0.804
-0.196,0.68,0.834
-0.181,0.69,0.885
-0.166,0.696,0.922
-0.133,0.698,0.928
-0.091,0.694,0.915
-0.069,0.696,0.888
-0.019,0.71,0.875
0.032,0.712,0.834
0.061,0.712,0.791
0.133,0.712,0.775
0.207,0.709,0.752
0.238,0.71,0.74
0.279,0.713,0.74
0.302,0.712,0.752
0.305,0.707,0.766
0.296,0.706,0.776
0.275,0.715,0.797
0.262,0.723,0.823
0.228,0.733,0.836
0.208,0.726,0.847
0.174,0.722,0.854
0.149,0.71,0.855
0.137,0.686,0.856
0.118,0.673,0.86
0.098,0.655,0.863
0.089,0.644,0.867
0.076,0.643,0.869
0.073,0.644,0.866
0.075,0.638,0.866
0.092,0.627,0.863
0.103,0.62,0.853
0.122,0.618,0.841
0.139,0.618,0.838
0.15,0.623,0.831
0.181,0.624,0.833
0.217,0.621,0.837
0.234,0.617,0.847
0.264,0.617,0.855
0.28,0.618,0.86
0.283,0.621,0.868
0.291,0.625,0.875
0.288,0.625,0.881
